Starting Training Phase for Epoch 1/5
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [120.0, 119.0], Predicted Scores: [99.00736236572266, 95.76537322998047]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [97.0, 105.0], Predicted Scores: [104.54004669189453, 101.02108764648438]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [98.0, 87.0], Predicted Scores: [89.68798065185547, 92.3565444946289]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [85.0, 88.0], Predicted Scores: [103.24313354492188, 94.2654037475586]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [104.0, 99.0], Predicted Scores: [88.18111419677734, 89.75084686279297]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [109.0, 100.0], Predicted Scores: [99.12870025634766, 86.16810607910156]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [113.0, 99.0], Predicted Scores: [99.83131408691406, 92.59968566894531]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [107.0, 117.0], Predicted Scores: [98.9597396850586, 95.81401062011719]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [105.0, 108.0], Predicted Scores: [109.47850036621094, 104.14642333984375]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [98.0, 85.0], Predicted Scores: [95.92431640625, 89.77117919921875]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [109.0, 103.0], Predicted Scores: [105.22454833984375, 98.07148742675781]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [86.0, 93.0], Predicted Scores: [100.56582641601562, 94.08973693847656]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [95.0, 96.0], Predicted Scores: [100.09098052978516, 92.04830932617188]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [123.0, 108.0], Predicted Scores: [106.8515853881836, 103.44502258300781]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [100.0, 89.0], Predicted Scores: [109.3064193725586, 97.3226089477539]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [82.0, 108.0], Predicted Scores: [98.6447982788086, 84.1229019165039]
