2024-12-04 11:40:06,459 - INFO - Starting Training Phase for Epoch 1/10
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 11, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [96.0, 83.0], Predicted Scores: [5.448542594909668, 5.194421768188477]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 12, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [85.0, 103.0], Predicted Scores: [5.296802997589111, 5.080109119415283]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 13, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [92.0, 118.0], Predicted Scores: [5.104799747467041, 4.754283428192139]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 14, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [101.0, 98.0], Predicted Scores: [4.605748653411865, 4.924455642700195]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 15, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [117.0, 113.0], Predicted Scores: [5.007283687591553, 4.638927936553955]
2024-12-04 11:40:07,672 - INFO - Epoch 1, Batch 5, Game Index: 0, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [91.0, 93.0], Predicted Scores: [7.221192359924316, 6.773032188415527]
2024-12-04 11:40:07,673 - INFO - Epoch 1, Batch 5, Game Index: 1, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [119.0, 103.0], Predicted Scores: [7.5522780418396, 7.176809787750244]
2024-12-04 11:40:07,673 - INFO - Epoch 1, Batch 5, Game Index: 2, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [74.0, 94.0], Predicted Scores: [7.65580940246582, 7.1801629066467285]
2024-12-04 11:40:07,673 - INFO - Epoch 1, Batch 5, Game Index: 3, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [91.0, 90.0], Predicted Scores: [7.269562721252441, 6.771703243255615]
2024-12-04 11:40:07,673 - INFO - Epoch 1, Batch 5, Game Index: 4, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [86.0, 77.0], Predicted Scores: [7.849506855010986, 7.2689642906188965]
2024-12-04 11:40:07,673 - INFO - Epoch 1, Batch 5, Game Index: 5, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [77.0, 88.0], Predicted Scores: [7.231894493103027, 6.708780288696289]
2024-12-04 11:40:07,673 - INFO - Epoch 1, Batch 5, Game Index: 6, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [89.0, 115.0], Predicted Scores: [7.903087615966797, 7.318841457366943]
2024-12-04 11:40:07,674 - INFO - Epoch 1, Batch 5, Game Index: 7, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [106.0, 103.0], Predicted Scores: [7.646377086639404, 7.459254741668701]
2024-12-04 11:40:07,674 - INFO - Epoch 1, Batch 5, Game Index: 8, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [103.0, 110.0], Predicted Scores: [7.154287338256836, 6.72472620010376]
2024-12-04 11:40:07,676 - INFO - Epoch 1, Batch 5, Game Index: 9, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [88.0, 78.0], Predicted Scores: [7.089974880218506, 6.7359490394592285]
2024-12-04 11:40:07,676 - INFO - Epoch 1, Batch 5, Game Index: 10, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [107.0, 96.0], Predicted Scores: [6.975783348083496, 6.563499927520752]
2024-12-04 11:40:07,676 - INFO - Epoch 1, Batch 5, Game Index: 11, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [114.0, 106.0], Predicted Scores: [7.373798847198486, 7.304153919219971]
2024-12-04 11:40:07,676 - INFO - Epoch 1, Batch 5, Game Index: 12, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [120.0, 112.0], Predicted Scores: [7.416627407073975, 7.0023884773254395]
2024-12-04 11:40:07,676 - INFO - Epoch 1, Batch 5, Game Index: 13, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [102.0, 105.0], Predicted Scores: [7.6177592277526855, 7.1426897048950195]
2024-12-04 11:40:07,676 - INFO - Epoch 1, Batch 5, Game Index: 14, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [77.0, 99.0], Predicted Scores: [7.217737197875977, 6.780523300170898]
2024-12-04 11:40:07,677 - INFO - Epoch 1, Batch 5, Game Index: 15, MSE Loss: 8483.8438, Percentage Loss: 92.51%, Actual Scores: [120.0, 114.0], Predicted Scores: [7.842642307281494, 7.217867374420166]
2024-12-04 11:40:07,904 - INFO - Epoch 1, Batch 6, Game Index: 0, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [107.0, 99.0], Predicted Scores: [9.71664810180664, 8.771806716918945]
2024-12-04 11:40:07,905 - INFO - Epoch 1, Batch 6, Game Index: 1, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [104.0, 94.0], Predicted Scores: [9.985709190368652, 9.265556335449219]
2024-12-04 11:40:07,906 - INFO - Epoch 1, Batch 6, Game Index: 2, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [103.0, 98.0], Predicted Scores: [10.266830444335938, 9.637269973754883]
2024-12-04 11:40:07,906 - INFO - Epoch 1, Batch 6, Game Index: 3, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [100.0, 88.0], Predicted Scores: [9.385619163513184, 8.39427375793457]
2024-12-04 11:40:07,907 - INFO - Epoch 1, Batch 6, Game Index: 4, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [105.0, 114.0], Predicted Scores: [9.915824890136719, 9.168882369995117]
2024-12-04 11:40:07,907 - INFO - Epoch 1, Batch 6, Game Index: 5, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [90.0, 105.0], Predicted Scores: [9.914251327514648, 9.3330717086792]
2024-12-04 11:40:07,907 - INFO - Epoch 1, Batch 6, Game Index: 6, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [95.0, 94.0], Predicted Scores: [9.877172470092773, 8.897631645202637]
2024-12-04 11:40:07,907 - INFO - Epoch 1, Batch 6, Game Index: 7, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [93.0, 98.0], Predicted Scores: [9.909645080566406, 9.494264602661133]
2024-12-04 11:40:07,907 - INFO - Epoch 1, Batch 6, Game Index: 8, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [106.0, 98.0], Predicted Scores: [10.298501968383789, 9.69482135772705]
2024-12-04 11:40:07,907 - INFO - Epoch 1, Batch 6, Game Index: 9, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [101.0, 86.0], Predicted Scores: [9.6172513961792, 8.76789665222168]
2024-12-04 11:40:07,908 - INFO - Epoch 1, Batch 6, Game Index: 10, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [120.0, 96.0], Predicted Scores: [9.63740348815918, 9.145269393920898]
2024-12-04 11:40:07,908 - INFO - Epoch 1, Batch 6, Game Index: 11, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [82.0, 103.0], Predicted Scores: [10.299920082092285, 9.005209922790527]
2024-12-04 11:40:07,908 - INFO - Epoch 1, Batch 6, Game Index: 12, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [93.0, 97.0], Predicted Scores: [9.64141845703125, 9.040825843811035]
2024-12-04 11:40:07,908 - INFO - Epoch 1, Batch 6, Game Index: 13, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [111.0, 92.0], Predicted Scores: [9.779727935791016, 8.824006080627441]
2024-12-04 11:40:07,908 - INFO - Epoch 1, Batch 6, Game Index: 14, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [98.0, 105.0], Predicted Scores: [9.62729263305664, 9.183964729309082]
2024-12-04 11:40:07,909 - INFO - Epoch 1, Batch 6, Game Index: 15, MSE Loss: 8165.1880, Percentage Loss: 90.40%, Actual Scores: [98.0, 111.0], Predicted Scores: [9.887238502502441, 9.464695930480957]
2024-12-04 11:40:08,163 - INFO - Epoch 1, Batch 7, Game Index: 0, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [94.0, 96.0], Predicted Scores: [13.06411361694336, 12.164353370666504]
2024-12-04 11:40:08,164 - INFO - Epoch 1, Batch 7, Game Index: 1, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [101.0, 94.0], Predicted Scores: [12.945165634155273, 11.980018615722656]
2024-12-04 11:40:08,164 - INFO - Epoch 1, Batch 7, Game Index: 2, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [108.0, 86.0], Predicted Scores: [12.756753921508789, 11.700413703918457]
2024-12-04 11:40:08,164 - INFO - Epoch 1, Batch 7, Game Index: 3, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [88.0, 97.0], Predicted Scores: [12.891368865966797, 11.985923767089844]
2024-12-04 11:40:08,164 - INFO - Epoch 1, Batch 7, Game Index: 4, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [104.0, 85.0], Predicted Scores: [13.053348541259766, 12.1061429977417]
2024-12-04 11:40:08,164 - INFO - Epoch 1, Batch 7, Game Index: 5, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [119.0, 112.0], Predicted Scores: [12.731096267700195, 11.880533218383789]
2024-12-04 11:40:08,164 - INFO - Epoch 1, Batch 7, Game Index: 6, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [90.0, 94.0], Predicted Scores: [12.682188034057617, 11.835434913635254]
2024-12-04 11:40:08,165 - INFO - Epoch 1, Batch 7, Game Index: 7, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [114.0, 99.0], Predicted Scores: [12.862259864807129, 11.989469528198242]
2024-12-04 11:40:08,165 - INFO - Epoch 1, Batch 7, Game Index: 8, MSE Loss: 7319.4814, Percentage Loss: 87.01%, Actual Scores: [100.0, 89.0], Predicted Scores: [12.69449520111084, 11.860849380493164]
